Id,Vendor,"Product Name","Product Code",Unit,Weight,Price
25,Vendor2,"Coriander Leaves (April-Nov)",3736,Kg,3,80
50,Vendor3,"Mint Leaves 500 Gm",4371,Grams,500,27.3
3,Vendor1,"Ginger 500 Gm",4356,Grams,500,29.5
28,Vendor2,"Lemon 500 Gm",4365,Grams,500,31
29,Vendor2,"Green Chilly",3732,Kg,1,37.5
54,Vendor3,"Coconut Brown (Husk)",3646,Kg,1,15
7,Vendor1,"Garlic Whole",3746,Kg,1,105
8,Vendor1,"Capsicum Green",3725,Kg,1.5,78
33,Vendor2,Lemon,3759,Kg,1,63
10,Vendor1,"Chinese Cucumber 1 Kg",4681,Kg,1,60
11,Vendor1,"Pumpkin Red",3777,Kg,1.5,20
60,Vendor3,"Bottleguard (Lauki)",3719,Kg,1.5,22
13,Vendor1,"Cabbage (April-November)",3723,Kg,4,30
14,Vendor1,"Brinjal (Small)",3722,Kg,1.5,30
15,Vendor1,"CHICKEN BONELESS BREST",2565,Kg,2,230
16,Vendor1,"CHICKEN TANDOOR 700-800",3593,Kg,5,160
17,Vendor1,"Tomato Table / Salad",3790,Kg,5,35
66,Vendor3,"Coriander Leaves (April-Nov) 500 Gm",4345,Grams,500,41
67,Vendor3,"Carrot (April-November) 500 Gm",4340,Grams,500,12
44,Vendor2,"Brinjal (Big) Bharta",3720,Kg,3,29
45,Vendor2,Cucumber,3740,Kg,3,23
46,Vendor2,Ginger,3748,Kg,1,56
47,Vendor2,"Carrot (April-November)",3727,Kg,1,23
24,Vendor1,"Green Chilly 500 Gm",4341,Grams,500,20
